"study_id","first_author","pubyear","papers","effect_sizes","experiments","toedieningsroute","drug","drug_class","dose_unit","dose","unit","hed","hed2","frequency","timing","multiplication_factor_es","anxiety_test","type_of_outcome","type_of_anxiety_test","species","strain","disease","mean_treatment_group","se_treatment_group","n_treatment_group","sd_treatment_group","mean_control_group","se_control_group","n_control_group","sd_control_group","sex","id_sample","Sample","dose2"
"Jurkus_2016_21_6","Jurkus",2016,6,21,6,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","20 mg/kg",20,"mg/kg",3.24,10.4976,"SD","acute",1,"Cued fear conditioning","Conditioned fear expression","Conditioned","rats","Lister-hooded","No",48.7272727272727,NA,11,19.1263739851071,66.5454545454545,NA,11,17.2067639977053,"Male","6","CBDanimalconditioned",NA
"Jurkus_2016_22_6","Jurkus",2016,6,22,6,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","5 mg/kg",5,"mg/kg",0.81,0.6561,"SD","acute",1,"Cued fear conditioning","Extinction retention","Conditioned","rats","Lister-hooded","No",31,NA,10,18.3787316694536,36.3636363636364,NA,11,22.370841411412,"Male","6","CBDanimalconditioned",NA
"Jurkus_2016_23_6","Jurkus",2016,6,23,6,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",1,"Cued fear conditioning","Extinction retention","Conditioned","rats","Lister-hooded","No",26.8181818181818,NA,11,24.522716741088,36.3636363636364,NA,11,22.370841411412,"Male","6","CBDanimalconditioned",NA
"Jurkus_2016_24_6","Jurkus",2016,6,24,6,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","20 mg/kg",20,"mg/kg",3.24,10.4976,"SD","acute",1,"Cued fear conditioning","Extinction retention","Conditioned","rats","Lister-hooded","No",25,NA,11,24.2899156029822,36.3636363636364,NA,11,22.370841411412,"Male","6","CBDanimalconditioned",NA
"Jurkus_2016_25_6","Jurkus",2016,6,25,6,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","5 mg/kg",5,"mg/kg",0.81,0.6561,"SD","acute",1,"Contextual fear conditioning","Extinction retention","Conditioned","rats","Lister-hooded","No",2.25,NA,10,2.751,5.455,NA,11,8.501,"Male","6","CBDanimalconditioned",NA
"Jurkus_2016_26_6","Jurkus",2016,6,26,6,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",1,"Contextual fear conditioning","Extinction retention","Conditioned","rats","Lister-hooded","No",1.591,NA,11,2.023,5.455,NA,11,8.501,"Male","6","CBDanimalconditioned",NA
"Jurkus_2016_27_6","Jurkus",2016,6,27,6,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","20 mg/kg",20,"mg/kg",3.24,10.4976,"SD","acute",1,"Contextual fear conditioning","Extinction retention","Conditioned","rats","Lister-hooded","No",3.182,NA,11,8.373,5.455,NA,11,8.501,"Male","6","CBDanimalconditioned",NA
"Lemos_2010_28_7","Lemos",2010,7,28,7,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",1,"Contextual fear conditioning","Fear during CS reexposure","Conditioned","rats","Wistar","No",30.9,NA,9,27.4,63.9,NA,9,19.2,"Male","7","CBDanimalconditioned",NA
"Murkar_2019_29_8","Murkar",2019,8,29,8,"p.o.","Cannabidiol","Reuptake/hydrolysis inhibitor","50 mg/kg",50,"mg/kg",8.1,65.61,"SD","acute",1,"Contextual fear conditioning","Fear memory reconsolidation","Conditioned","rats","Sprague-Dawley","No",85.02,NA,9,68.88,201.79,NA,9,69.71,"Male","8","CBDanimalconditioned",NA
"Murkar_2019_30_8","Murkar",2019,8,30,8,"p.o.","Cannabidiol","Reuptake/hydrolysis inhibitor","50 mg/kg",50,"mg/kg",8.1,65.61,"SD","acute",1,"Contextual fear conditioning","Fear memory reconsolidation","Conditioned","rats","Sprague-Dawley","No",16.83,NA,9,24.93,80.07,NA,9,63.09,"Male","8","CBDanimalconditioned",NA
"Resstel_2006_31_9","Resstel",2006,9,31,9,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",1,"Contextual fear conditioning","Fear during CS reexposure","Conditioned","rats","Wistar","No",13.816,5.702,5,12.7500596077038,76.096,6.36,5,14.2213923368987,"Male","9","CBDanimalconditioned",NA
"Resstel_2006_32_9","Resstel",2006,9,32,9,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",1,"Contextual fear conditioning","Fear during CS reexposure","Conditioned","rats","Wistar","No",-13.2596685082872,5,5,11.1803398874989,72.2651933701657,13,5,29.0688837074973,"Male","9","CBDanimalconditioned",NA
"Shallcross_2019_33_10","Shallcross",2019,10,33,10,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","5 mg/kg",5,"mg/kg",0.81,0.6561,"MD","acute",1,"Contextual fear conditioning","Within-session fear extinction","Conditioned","rats","Sprague-Dawley","No",208.875,NA,8,113.564880763628,121.25,NA,8,124.940843144723,"Male","10","CBDanimalconditioned",NA
"Watt_2020_34_11","Watt",2020,11,34,11,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","50 mg/kg",50,"mg/kg",4.05,16.4025,"MD","delay",1,"Cued fear conditioning","Within-session fear extinction","Conditioned","mice","Wild-type","No",13.628,NA,14,8.257,13.823,NA,14,8.51,"Male","11","CBDanimalconditioned",NA
"Watt_2020_35_11","Watt",2020,11,35,11,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","50 mg/kg",50,"mg/kg",4.05,16.4025,"MD","delay",1,"Contextual fear conditioning","Fear during CS reexposure","Conditioned","mice","Wild-type","No",18,3,14,11.2249721603218,26,4,14,14.9666295470958,"Male","11","CBDanimalconditioned",NA
"Watt_2020_36_11","Watt",2020,11,36,11,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","50 mg/kg",50,"mg/kg",4.05,16.4025,"MD","delay",1,"Cued fear conditioning","Conditioned fear expression","Conditioned","mice","Wild-type like","No",0.533,NA,14,1.078,2.167,NA,14,2.919,"Male","11","CBDanimalconditioned",NA
"Watt_2020_37_12","Watt",2020,12,37,12,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","50 mg/kg",50,"mg/kg",4.05,16.4025,"MD","delay",1,"Cued fear conditioning","Within-session fear extinction","Conditioned","mice","Wild-type","No",16.07,NA,11,11.69,16.29,NA,10,9.99,"Male","12","CBDanimalconditioned",NA
"Watt_2020_38_12","Watt",2020,12,38,12,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","50 mg/kg",50,"mg/kg",4.05,16.4025,"MD","delay",1,"Contextual fear conditioning","Within-session fear extinction","Conditioned","mice","Wild-type","No",19.75,NA,11,10.88,14.82,NA,10,11.85,"Male","12","CBDanimalconditioned",NA
"Watt_2020_39_12","Watt",2020,12,39,12,"i.p.","Cannabidiol",NA,"50 mg/kg",50,"mg/kg",4.05,16.4025,"MD","delay",1,"Cued fear conditioning","Conditioned fear expression","Conditioned","mice","Wild-type","No",12.3188405797101,14.5289855072463,11,48.1871935120474,7.42753623188405,9.63768115942029,10,23.0585002172348,"Male","12","CBDanimalconditioned",NA
"Watt_2020_40_12","Watt",2020,12,40,12,"i.p.","Cannabidiol",NA,"50 mg/kg",50,"mg/kg",4.05,16.4025,"MD","delay",1,"Contextual fear conditioning","Conditioned fear expression","Conditioned","mice","Wild-type","No",4.74,NA,11,4.36,2.08,NA,10,2.44,"Male","12","CBDanimalconditioned",NA
"Song_2016_41_13","Song",2016,13,41,13,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",1,"Contextual fear conditioning","Within-session fear extinction","Conditioned","rats","Lister hooded","No",37.74,NA,8,16.34,36.76,NA,8,13.61,"Male","13","CBDanimalconditioned",NA
"Song_2016_42_13","Song",2016,13,42,13,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",1,"Contextual fear conditioning","Extinction retention","Conditioned","rats","Lister hooded","No",41.33,NA,8,9.7,24.13,NA,8,15.51,"Male","13","CBDanimalconditioned",NA
"Song_2016_43_13","Song",2016,13,43,13,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",1,"Contextual fear conditioning","Within-session fear extinction","Conditioned","rats","Lister hooded","No",45.85,NA,7,13.98,53.36,NA,7,16.49,"Male","13","CBDanimalconditioned",NA
"Song_2016_44_13","Song",2016,13,44,13,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",1,"Contextual fear conditioning","Extinction retention","Conditioned","rats","Lister hooded","No",29.45,NA,7,6.09,45.05,NA,7,13.95,"Male","13","CBDanimalconditioned",NA
"Stern_2012_45_14","Stern",2012,14,45,14,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","3 mg/kg",3,"mg/kg",0.486,0.236196,"SD","acute",1,"Contextual fear conditioning","Fear memory reconsolidation","Conditioned","rats","Wistar","No",55.6,NA,7,13.6,76.5,NA,11,15,"Male","14","CBDanimalconditioned",NA
"Stern_2012_46_14","Stern",2012,14,46,14,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",1,"Contextual fear conditioning","Fear memory reconsolidation","Conditioned","rats","Wistar","No",38,NA,12,17.3,76.5,NA,11,15,"Male","14","CBDanimalconditioned",NA
"Stern_2012_47_14","Stern",2012,14,47,14,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","30 mg/kg",30,"mg/kg",4.86,23.6196,"SD","acute",1,"Contextual fear conditioning","Fear memory reconsolidation","Conditioned","rats","Wistar","No",52.6,NA,11,15.9,76.5,NA,11,15,"Male","14","CBDanimalconditioned",NA
"Stern_2012_48_15","Stern",2012,14,48,15,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",1,"Contextual fear conditioning","Fear memory reconsolidation","Conditioned","rats","Wistar","No",70.07,NA,7,11.7,78.17,NA,7,17.67,"Male","14","CBDanimalconditioned",NA
"Stern_2012_49_14","Stern",2012,14,49,14,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",1,"Contextual fear conditioning","Fear memory reconsolidation","Conditioned","rats","Wistar","No",39,NA,7,20.1,88.3,NA,6,5.1,"Male","14","CBDanimalconditioned",NA
"Stern_2012_50_14","Stern",2012,14,50,14,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",1,"Contextual fear conditioning","Fear memory reconsolidation","Conditioned","rats","Wistar","No",35.1,NA,7,23.7,74.9,NA,6,4,"Male","14","CBDanimalconditioned",NA
"Stern_2012_51_14","Stern",2012,14,51,14,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",1,"Contextual fear conditioning","Fear memory reconsolidation","Conditioned","rats","Wistar","No",48.0733944954128,4.7706422018348,6.5,12.1627988397625,73.0275229357798,4.40366972477059,6.5,11.2271989290115,"Male","14","CBDanimalconditioned",NA
"Stern_2012_52_14","Stern",2012,14,52,14,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",1,"Contextual fear conditioning","Fear memory reconsolidation","Conditioned","rats","Wistar","No",50.2752293577981,8.6238532110092,6.5,21.9865979026478,70.8256880733944,1.8348623853212,6.5,4.67799955375511,"Male","14","CBDanimalconditioned",NA
"Stern_2012_53_14","Stern",2012,14,53,14,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",1,"Contextual fear conditioning","Fear memory reconsolidation","Conditioned","rats","Wistar","No",57,NA,9,4.9,80.1,NA,10,15.6,"Male","14","CBDanimalconditioned",NA
"Stern_2012_54_14","Stern",2012,14,54,14,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",1,"Contextual fear conditioning","Fear memory reconsolidation","Conditioned","rats","Wistar","No",37.9,NA,9,10.8,63.4,NA,10,15.5,"Male","14","CBDanimalconditioned",NA
"Stern_2012_55_14","Stern",2012,14,55,14,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",1,"Contextual fear conditioning","Fear memory reconsolidation","Conditioned","rats","Wistar","No",52.9,NA,8,16.2,72.8,NA,11,13.2,"Male","14","CBDanimalconditioned",NA
"Stern_2012_56_14","Stern",2012,14,56,14,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",1,"Contextual fear conditioning","Fear memory reconsolidation","Conditioned","rats","Wistar","No",40.6,NA,9,21,85.8,NA,9,9.7,"Male","14","CBDanimalconditioned",NA
"Stern_2012_57_14","Stern",2012,14,57,14,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",1,"Contextual fear conditioning","Fear memory reconsolidation","Conditioned","rats","Wistar","No",42.5,NA,8,23.4,87.8,NA,8,8,"Male","14","CBDanimalconditioned",NA
"Stern_2012_58_14","Stern",2012,14,58,14,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",1,"Contextual fear conditioning","Fear memory reconsolidation","Conditioned","rats","Wistar","No",48.3,NA,9,14.8,73.2,NA,8,12,"Male","14","CBDanimalconditioned",NA
"Stern_2015_59_16","Stern",2015,15,59,16,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","1 mg/kg",1,"mg/kg",0.162,0.026244,"SD","acute",1,"Contextual fear conditioning","Fear memory reconsolidation","Conditioned","rats","Wistar","No",69.56,NA,9,7.78,82.63,NA,8,9.01,"Male","15","CBDanimalconditioned",NA
"Onaivi_1990_1_1","Onaivi",1990,1,1,1,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","0.01 mg/kg",0.01,"mg/kg",0.00081,6.561e-07,"SD","acute",-1,"AA",NA,"Unconditioned","mice","ICR","No",60,4,11,13.2664991614216,53,2,11,6.6332495807108,"Male","1","CBDanimalunconditioned",NA
"Onaivi_1990_2_1","Onaivi",1990,1,2,1,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","0.1 mg/kg",0.1,"mg/kg",0.0081,6.561e-05,"SD","acute",-1,"AA",NA,"Unconditioned","mice","ICR","No",62,6,11,19.8997487421324,53,2,11,6.6332495807108,"Male","1","CBDanimalunconditioned",NA
"Onaivi_1990_3_1","Onaivi",1990,1,3,1,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","0.5 mg/kg",0.5,"mg/kg",0.0405,0.00164025,"SD","acute",-1,"AA",NA,"Unconditioned","mice","ICR","No",57,5,11,16.583123951777,53,2,11,6.6332495807108,"Male","1","CBDanimalunconditioned",NA
"Onaivi_1990_4_1","Onaivi",1990,1,4,1,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","1 mg/kg",1,"mg/kg",0.081,0.006561,"SD","acute",-1,"AA",NA,"Unconditioned","mice","ICR","No",61,3,11,9.9498743710662,53,2,11,6.6332495807108,"Male","1","CBDanimalunconditioned",NA
"Onaivi_1990_5_1","Onaivi",1990,1,5,1,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","2.5 mg/kg",2.5,"mg/kg",0.2025,0.04100625,"SD","acute",-1,"AA",NA,"Unconditioned","mice","ICR","No",60,8,11,26.5329983228432,53,2,11,6.6332495807108,"Male","1","CBDanimalunconditioned",NA
"Onaivi_1990_6_1","Onaivi",1990,1,6,1,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","5 mg/kg",5,"mg/kg",0.405,0.164025,"SD","acute",-1,"AA",NA,"Unconditioned","mice","ICR","No",52,7,11,23.2163735324878,53,2,11,6.6332495807108,"Male","1","CBDanimalunconditioned",NA
"Onaivi_1990_7_1","Onaivi",1990,1,7,1,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",0.81,0.6561,"SD","acute",-1,"AA",NA,"Unconditioned","mice","ICR","No",58,2,11,6.6332495807108,53,2,11,6.6332495807108,"Male","1","CBDanimalunconditioned",NA
"Onaivi_1990_8_1","Onaivi",1990,1,8,1,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","50 mg/kg",50,"mg/kg",4.05,16.4025,"SD","acute",-1,"AA",NA,"Unconditioned","mice","ICR","No",58,4,11,13.2664991614216,53,2,11,6.6332495807108,"Male","1","CBDanimalunconditioned",NA
"Onaivi_1990_9_1","Onaivi",1990,1,9,1,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","100 mg/kg",100,"mg/kg",8.1,65.61,"SD","acute",-1,"AA",NA,"Unconditioned","mice","ICR","No",60,3,11,9.9498743710662,53,2,11,6.6332495807108,"Male","1","CBDanimalunconditioned",NA
"Rock_2017_10_2","Rock",2017,2,10,2,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","5 mg/kg",5,"mg/kg",0.81,0.6561,"SD","acute",-1,"AA",NA,"Unconditioned","rats","Sprague-Dawley","No",61,NA,7,55,91,NA,9,34,"Male","2","CBDanimalunconditioned",NA
"Rock_2017_11_3","Rock",2017,2,11,3,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","5 mg/kg",5,"mg/kg",0.81,0.6561,"SD","acute",-1,"AA",NA,"Unconditioned","rats","Sprague-Dawley","Yes",48,NA,6,31,16,NA,15,15,"Male","2","CBDanimalunconditioned",NA
"Todd_2017_12_4","Todd",2017,3,12,4,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",0.81,0.6561,"SD","acute",-1,"AA",NA,"Unconditioned","mice","C57Bl6","No",25.58139535,0,6,0,31.3372093,3.197674419,7,8.46025128642695,"Male","3","CBDanimalunconditioned",NA
"Todd_2017_13_4","Todd",2017,3,13,4,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",0.81,0.6561,"MD","acute",-1,"AA",NA,"Unconditioned","mice","C57Bl6","No",21.27906977,2.558139535,6,6.26613655159063,23.19767442,1.802325581,7,4.768505268896,"Male","3","CBDanimalunconditioned",NA
"Todd_2017_14_4","Todd",2017,3,14,4,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",0.81,0.6561,"MD","acute",-1,"AA",NA,"Unconditioned","mice","C57Bl6","No",20.46511628,2.093023256,6,5.12683899697865,25.23255814,2.790697674,7,7.3834920297704,"Male","3","CBDanimalunconditioned",NA
"Todd_2017_15_4","Todd",2017,3,15,4,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",0.81,0.6561,"MD","acute",-1,"AA",NA,"Unconditioned","mice","C57Bl6","No",18.13953488,3.139534884,6,7.69025849546797,29.18604651,2.558139535,7,6.76820102861241,"Male","3","CBDanimalunconditioned",NA
"Todd_2017_16_4","Todd",2017,3,16,4,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",0.81,0.6561,"MD","acute",-1,"AA",NA,"Unconditioned","mice","C57Bl6","No",14.30232558,4.186046512,6,10.2536779939573,15.93023256,1.279069767,7,3.38410051298333,"Male","3","CBDanimalunconditioned",NA
"Todd_2017_17_5","Todd",2017,3,17,5,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","50 mg/kg",50,"mg/kg",4.05,16.4025,"SD","acute",-1,"SIT",NA,"Unconditioned","mice","C57Bl6","No",10.21447721,0.844504021,12,2.92544774313643,9.490616622,0.784182306,12,2.71648719277705,"Male","3","CBDanimalunconditioned",NA
"Todd_2017_18_5","Todd",2017,3,18,5,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","50 mg/kg",50,"mg/kg",4.05,16.4025,"MD","acute",-1,"SIT",NA,"Unconditioned","mice","C57Bl6","No",8.847184987,0.683646113,12,2.36821960422595,7.278820375,0.844504021,12,2.92544774313643,"Male","3","CBDanimalunconditioned",NA
"Todd_2017_19_4","Todd",2017,3,19,4,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",0.81,0.6561,"SD","acute",1,"ASR",NA,"Unconditioned","mice","C57Bl6","No",53.03430079,7.915567282,6,19.3891008655691,84.30079156,8.311345646,7,21.9897536396155,"Male","3","CBDanimalunconditioned",NA
"Todd_2017_20_4","Todd",2017,3,20,4,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",0.81,0.6561,"MD","acute",1,"ASR",NA,"Unconditioned","mice","C57Bl6","No",74.20844327,20.38258575,6,49.9269347260236,81.53034301,19.78891821,7,52.3565562986575,"Male","3","CBDanimalunconditioned",NA
"Todd_2017_21_4","Todd",2017,3,21,4,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",0.81,0.6561,"SD","acute",1,"AA",NA,"Unconditioned","mice","C57Bl6","No",124.198250728862,25.364431486881,6,62.1299147586417,131.195335276967,20.116618075802,7,53.2235686482388,"Male","3","CBDanimalunconditioned",NA
"Todd_2017_22_4","Todd",2017,3,22,4,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",0.81,0.6561,"MD","acute",1,"AA",NA,"Unconditioned","mice","C57Bl6","No",105.830903790087,14.868804664723,6,36.4209845136856,165.306122448979,24.489795918367,7,64.7939096587237,"Male","3","CBDanimalunconditioned",NA
"Uribe-Marino_2012_23_6","Uribe-Marino",2012,4,23,6,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","0.3 mg/kg",0.3,"mg/kg",0.0243,0.00059049,"SD","acute",1,"defense",NA,"Unconditioned","mice","Swiss","No",0.619596542,0.176512968,11.5,0.598584597638415,1.736311239,0.489913545,11.5,1.66137766269635,"Male","4","CBDanimalunconditioned",NA
"Uribe-Marino_2012_24_6","Uribe-Marino",2012,4,24,6,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","3 mg/kg",3,"mg/kg",0.243,0.059049,"SD","acute",1,"defense",NA,"Unconditioned","mice","Swiss","No",0.439481268,0.266570605,11.5,0.903984903455671,1.736311239,0.489913545,11.5,1.66137766269635,"Male","4","CBDanimalunconditioned",NA
"Uribe-Marino_2012_25_6","Uribe-Marino",2012,4,25,6,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","30 mg/kg",30,"mg/kg",2.43,5.9049,"SD","acute",1,"defense",NA,"Unconditioned","mice","Swiss","No",0.634005764,0.295389049,11.5,1.00171300185978,1.736311239,0.489913545,11.5,1.66137766269635,"Male","4","CBDanimalunconditioned",NA
"Nardo_2014_26_7","Nardo",2014,5,26,7,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","5 mg/kg",5,"mg/kg",0.405,0.164025,"SD","acute",1,"RCLB",NA,"Unconditioned","mice","Swiss","No",10.05464481,1.93989071,9,5.81967213,10.76502732,0.737704918,11,2.4466904190059,"Male","5","CBDanimalunconditioned",NA
"Nardo_2014_27_7","Nardo",2014,5,27,7,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","15 mg/kg",15,"mg/kg",1.215,1.476225,"SD","acute",1,"RCLB",NA,"Unconditioned","mice","Swiss","No",11.39344262,1.448087432,10,4.5792545361842,10.76502732,0.737704918,11,2.4466904190059,"Male","5","CBDanimalunconditioned",NA
"Nardo_2014_28_7","Nardo",2014,5,28,7,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","30 mg/kg",30,"mg/kg",2.43,5.9049,"SD","acute",1,"RCLB",NA,"Unconditioned","mice","Swiss","No",5.054644809,1.31147541,9,3.93442623,10.76502732,0.737704918,11,2.4466904190059,"Male","5","CBDanimalunconditioned",NA
"Nardo_2014_29_7","Nardo",2014,5,29,7,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","15 mg/kg",15,"mg/kg",1.215,1.476225,"SD","acute",1,"RCLB",NA,"Unconditioned","mice","Swiss","No",7.600950119,1.330166271,6.5,3.39127188607597,8.123515439,2.470308789,6.5,6.29807635985538,"Male","5","CBDanimalunconditioned",NA
"Nardo_2014_30_7","Nardo",2014,5,30,7,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","15 mg/kg",15,"mg/kg",1.215,1.476225,"SD","acute",1,"RCLB",NA,"Unconditioned","mice","Swiss","Yes",7.244655582,1.6152019,6.5,4.11797300324607,14.60807601,0.80760095,6.5,2.05898650162304,"Male","5","CBDanimalunconditioned",NA
"Navarrete_2018_31_8","Navarrete",2018,6,31,8,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","5 mg/kg",5,"mg/kg",0.405,0.164025,"SD","acute",-1,"AA",NA,"Unconditioned","mice","C57BL/6J","No",116.38,NA,8,13.7,105,NA,8,14.76,"Male","6","CBDanimalunconditioned",NA
"Navarrete_2018_32_8","Navarrete",2018,6,32,8,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",0.81,0.6561,"SD","acute",-1,"AA",NA,"Unconditioned","mice","C57BL/6J","No",133.75,NA,8,21.58,105,NA,8,14.76,"Male","6","CBDanimalunconditioned",NA
"Navarrete_2018_33_8","Navarrete",2018,6,33,8,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","20 mg/kg",20,"mg/kg",1.62,2.6244,"SD","acute",-1,"AA",NA,"Unconditioned","mice","C57BL/6J","No",128.13,NA,8,13.35,105,NA,8,14.76,"Male","6","CBDanimalunconditioned",NA
"O'Brien_2013_34_9","O'Brien",2013,7,34,9,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","2.5 mg/kg",2.5,"mg/kg",0.405,0.164025,"SD","acute",-1,"AA",NA,"Unconditioned","rats","Sprague Dawley","No",103,NA,8,55,116,NA,8,43,"Male","7","CBDanimalunconditioned",NA
"O'Brien_2013_35_9","O'Brien",2013,7,35,9,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","2.5 mg/kg",2.5,"mg/kg",0.405,0.164025,"MD","acute",-1,"AA",NA,"Unconditioned","rats","Sprague Dawley","No",161,NA,8,61,154,NA,8,75,"Male","7","CBDanimalunconditioned",NA
"O'Brien_2013_36_9","O'Brien",2013,7,36,9,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","2.5 mg/kg",2.5,"mg/kg",0.405,0.164025,"MD","acute",-1,"AA",NA,"Unconditioned","rats","Sprague Dawley","No",148,NA,8,40,142,NA,8,66,"Male","7","CBDanimalunconditioned",NA
"Shoval_2016_37_10","Shoval",2016,8,37,10,"p.o.","Cannabidiol","Reuptake/hydrolysis inhibitor","15 mg/kg",15,"mg/kg",2.43,5.9049,"SD","acute",-1,"AA",NA,"Unconditioned","rats","Wistar","No",5.54,NA,14.5,0.55,5.69,NA,14.5,0.63,"Male","8","CBDanimalunconditioned",NA
